Location,Lat_Dec,Long_Dec,Well Classification,Well Trend,First,Beginning Nitrate Concentration,Beginning Nitrate Concentration Simple,Last,End Nitrate Concentration,,Ending Nitrate Concentration Simple
DW-10,44.4464,-123.1136,Leaching,Increase,5.34,< 7 mg-N/L Start,Low,10.96666667,> 10 mg-N/L End,,High
DW-11,44.3119,-123.2833,Leaching,No Significance,5.813333333,< 7 mg-N/L Start,Low,7.08,7-10 mg-N/L End,,Medium
DW-13,44.5156,-123.2359,Leaching,Increase,5.536666667,< 7 mg-N/L Start,Low,7.09,7-10 mg-N/L End,,Medium
DW-15,44.5853,-123.2257,Mixing,Decrease,4.703333333,< 7 mg-N/L Start,Low,1.92,< 7 mg-N/L End,,Low
DW-1524,44.317,-123.194,Multi-Proc,No Significance,10.11,> 10 mg-N/L Start,High,13.23333333,> 10 mg-N/L End,,High
DW-1525,44.3169,-123.1952,Mixing,Decrease,40.13333333,> 10 mg-N/L Start,High,16.33333333,> 10 mg-N/L End,,High
DW-16,44.6156,-123.2119,Stable,Decrease,4.63,< 7 mg-N/L Start,Low,2.92,< 7 mg-N/L End,,Low
DW-17,44.3622,-123.2786,Leaching,No Significance,13.53333333,> 10 mg-N/L Start,High,13.8,> 10 mg-N/L End,,High
DW-2,44.1621,-123.1405,Dilution,No Significance,0.4,< 7 mg-N/L Start,Low,0.49,< 7 mg-N/L End,,Low
DW-3,44.1994,-123.1715,Stable,Increase,4.693333333,< 7 mg-N/L Start,Low,5.783333333,< 7 mg-N/L End,,Low
DW-5,44.2212,-123.2214,Stable,No Significance,5.97,< 7 mg-N/L Start,Low,5.556666667,< 7 mg-N/L End,,Low
DW-6,44.2578,-123.2194,Stable,Decrease,10.15,> 10 mg-N/L Start,High,5.78,< 7 mg-N/L End,,Low
DW-7a,44.2332,-123.1524,Mixing,Increase,0.873333333,< 7 mg-N/L Start,Low,2.236666667,< 7 mg-N/L End,,Low
DW-8,44.3464,-123.218,Leaching,Increase,10.3,> 10 mg-N/L Start,High,11.2,> 10 mg-N/L End,,High
DW-9,44.4204,-123.1587,Stable,No Significance,1.273333333,< 7 mg-N/L Start,Low,1.443333333,< 7 mg-N/L End,,Low
GW-1,44.1496,-123.0976,Leaching,Increase,9.23,7-10 mg-N/L Start,Medium,10.5,> 10 mg-N/L End,,High
GW-10,44.2618,-123.1313,Multi-Proc,Increase,0.033333333,< 7 mg-N/L Start,Low,1.95,< 7 mg-N/L End,,Low
GW-11,44.3119,-123.1776,Multi-Proc,Increase,3.68,< 7 mg-N/L Start,Low,4.993333333,< 7 mg-N/L End,,Low
GW-12,44.3734,-123.176,Mixing,Increase,20.56666667,> 10 mg-N/L Start,High,23.6,> 10 mg-N/L End,,High
GW-13,44.4034,-123.2089,Stable,Increase,4.876666667,< 7 mg-N/L Start,Low,6.713333333,< 7 mg-N/L End,,Low
GW-15,44.5271,-123.1943,Stable,No Significance,5.62,< 7 mg-N/L Start,Low,4.15,< 7 mg-N/L End,,Low
GW-16,44.295,-123.2094,Dilution,No Significance,0.4,< 7 mg-N/L Start,Low,0.67,< 7 mg-N/L End,,Low
GW-17,44.335,-123.2461,Dilution,Increase,0.43,< 7 mg-N/L Start,Low,2.7,< 7 mg-N/L End,,Low
GW-18,44.335,-123.2526,Multi-Proc,Increase,2.916666667,< 7 mg-N/L Start,Low,10.48333333,> 10 mg-N/L End,,High
GW-19,44.3641,-123.2365,Mixing,No Significance,2.1,< 7 mg-N/L Start,Low,0.968,< 7 mg-N/L End,,Low
GW-20,44.3617,-123.2791,Leaching,No Significance,14.3,> 10 mg-N/L Start,High,14.5,> 10 mg-N/L End,,High
GW-21,44.391,-123.279,Leaching,No Significance,8.426666667,7-10 mg-N/L Start,Medium,15.16666667,> 10 mg-N/L End,,High
GW-22,44.4349,-123.2419,Leaching,No Significance,4,< 7 mg-N/L Start,Low,6.186666667,< 7 mg-N/L End,,Low
GW-24,44.4561,-123.2264,Dilution,No Significance,5.4,< 7 mg-N/L Start,Low,3.993333333,< 7 mg-N/L End,,Low
GW-3,44.2807,-123.2438,Leaching,No Significance,20.6,> 10 mg-N/L Start,High,33.7,> 10 mg-N/L End,,High
GW-4D,44.1968,-123.0919,Leaching,Increase,5.473333333,< 7 mg-N/L Start,Low,8.876666667,7-10 mg-N/L End,,Medium
GW-4S,44.1967,-123.092,Multi-Proc,Decrease,3.756666667,< 7 mg-N/L Start,Low,2.98,< 7 mg-N/L End,,Low
GW-5,44.1913,-123.1612,Dilution,No Significance,4.113333333,< 7 mg-N/L Start,Low,9.163333333,7-10 mg-N/L End,,Medium
GW-7,44.2518,-123.2501,Multi-Proc,Increase,1.226666667,< 7 mg-N/L Start,Low,5.026666667,< 7 mg-N/L End,,Low
GW-8R,44.2146,-123.065,Multi-Proc,No Significance,0.976666667,< 7 mg-N/L Start,Low,0.493,< 7 mg-N/L End,,Low
GW-9,44.2178,-123.1104,Stable,Decrease,7.51,7-10 mg-N/L Start,Medium,5.333333333,< 7 mg-N/L End,,Low
